id,text
c0000,Draft a 600-word blog article about remote work productivity.
c0001,Draft a 600-word blog article about remote work productivity.
c0002,Write a Python function to deduplicate a list while keeping order.
c0003,Draft a 600-word blog article about remote work productivity.
c0004,Design a color palette for a calm meditation app.
c0005,Generate a SQL query to join orders and customers by id.
c0006,Draft a 600-word blog article about remote work productivity.
c0007,Generate a SQL query to join orders and customers by id.
c0008,Write a Python function to deduplicate a list while keeping order.
c0009,Explain the common symptoms of dehydration.
c0010,Help me with my calculus homework on integrals.
c0011,Debug this JavaScript code that throws a null reference error.
c0012,Debug this JavaScript code that throws a null reference error.
c0013,Draft a 600-word blog article about remote work productivity.
c0014,Teach me the concept of opportunity cost with an example.
c0015,Help me outline an essay on climate policy.
c0016,Debug this JavaScript code that throws a null reference error.
c0017,Help me outline an essay on climate policy.
c0018,Write OKRs for a small operations team.
c0019,Debug this JavaScript code that throws a null reference error.
c0020,How do I run a regression to predict churn from usage data?
c0021,Build a chart comparing revenue across four regions.
c0022,Build a chart comparing revenue across four regions.
c0023,Draft a 600-word blog article about remote work productivity.
c0024,Explain what an NDA compliance obligation means.
c0025,Review this contract clause about liability and flag risks.
c0026,Teach me the concept of opportunity cost with an example.
c0027,Build a chart comparing revenue across four regions.
c0028,Help me prepare an agenda for a strategy meeting.
c0029,Explain how gradient descent works to a beginner.
c0030,Generate a SQL query to join orders and customers by id.
c0031,Help me understand how a REST API handles authentication.
c0032,Generate a SQL query to join orders and customers by id.
c0033,How do I run a regression to predict churn from usage data?
c0034,Help me understand how a REST API handles authentication.
c0035,Rewrite this paragraph to sound more concise and confident.
c0036,Teach me the concept of opportunity cost with an example.
c0037,Review this contract clause about liability and flag risks.
c0038,Help me compute the ROI of this marketing spend.
c0039,How do I run a regression to predict churn from usage data?
c0040,Help me understand how a REST API handles authentication.
c0041,Create a catchy slogan for an eco-friendly water bottle.
c0042,Help me compute the ROI of this marketing spend.
c0043,Write OKRs for a small operations team.
c0044,Rewrite this paragraph to sound more concise and confident.
c0045,Help me outline an essay on climate policy.
c0046,Write a Python function to deduplicate a list while keeping order.
c0047,Help me understand how a REST API handles authentication.
c0048,Debug this JavaScript code that throws a null reference error.
c0049,Rewrite this paragraph to sound more concise and confident.
c0050,Generate a SQL query to join orders and customers by id.
c0051,Rewrite this paragraph to sound more concise and confident.
c0052,Suggest a logo concept for a bakery called Rise.
c0053,Fix the grammar in this French paragraph.
c0054,Help me prepare an agenda for a strategy meeting.
c0055,Plan a social media campaign for a coffee brand.
c0056,Explain the common symptoms of dehydration.
c0057,Debug this JavaScript code that throws a null reference error.
c0058,Debug this JavaScript code that throws a null reference error.
c0059,Debug this JavaScript code that throws a null reference error.
